Fs,50.00
Initialization time,60
mx,my,mz
6382,667,4832
6357,672,4802
6337,707,4807
6357,682,4870
6362,682,4822
6392,702,4775
6362,667,4802
6392,672,4817
6367,677,4822
6372,692,4870
6347,712,4802
6377,707,4802
6337,682,4802
6317,712,4845
6367,677,4837
6347,712,4832
6347,687,4802
6362,692,4837
6347,667,4812
6337,610,4780
6357,717,4802
6332,677,4785
6342,707,4822
6347,652,4807
6397,692,4807
6372,687,4822
6342,702,4822
6327,687,4817
6367,677,4832
6367,657,4790
6337,687,4845
6402,687,4807
6367,662,4802
6392,697,4802
6382,707,4802
6377,672,4807
6342,667,4827
6372,727,4817
6367,712,4812
6362,682,4817
6352,662,4795
6367,687,4785
6317,707,4832
6327,707,4785
6337,687,4822
6297,677,4827
6352,667,4832
6357,672,4822
6342,672,4812
6382,697,4870
6342,702,4817
6347,672,4807
6332,647,4765
6357,697,4795
6347,687,4807
6397,672,4780
6402,707,4845
6352,662,4812
6357,712,4832
6367,682,4827
6367,712,4822
6342,677,4795
6382,687,4812
6347,687,4832
6377,687,4845
6327,687,4822
6377,657,4812
6377,702,4807
6342,687,4812
6317,702,4850
6337,677,4807
6377,667,4827
6337,662,4785
6357,702,4780
6342,677,4822
6347,677,4795
6342,672,4807
6352,677,4812
6382,692,4827
6332,662,4832
6347,687,4795
6332,677,4822
6327,702,4790
6352,682,4812
6362,677,4827
6347,657,4765
6352,682,4807
6372,727,4832
6362,717,4817
6342,697,4812
6357,677,4770
6387,682,4827
6357,682,4780
6362,727,4807
6342,672,4790
6337,712,4785
6362,630,4790
6337,672,4790
6382,692,4802
6367,682,4775
6367,667,4780
6332,667,4832
6362,697,4790
6357,677,4850
6342,625,4780
6342,692,4817
6332,687,4802
6352,657,4802
6317,692,4822
6317,692,4780
6362,727,4802
6362,697,4812
6367,687,4780
6377,672,4837
6367,702,4785
6362,707,4832
6322,687,4790
6367,682,4790
6367,682,4770
6382,717,4775
6362,752,4802
6337,682,4817
6357,727,4817
6312,727,4785
6307,702,4802
6352,682,4802
6377,717,4832
6387,682,4790
6352,747,4827
6332,687,4817
6342,672,4790
6327,672,4817
6352,717,4850
6377,717,4785
6332,737,4770
6327,687,4775
6352,707,4785
6367,717,4790
6377,672,4845
6322,677,4827
6352,697,4790
6352,727,4807
6307,682,4765
6317,697,4765
6352,697,4817
6332,677,4802
6347,717,4802
6357,737,4807
6357,702,4795
6367,692,4860
6362,667,4807
6342,722,4812
6342,717,4812
6362,682,4785
6352,667,4812
6372,692,4802
6332,677,4812
6322,662,4817
6367,687,4827
6347,692,4790
6332,652,4780
6367,707,4785
6362,707,4817
6352,697,4817
6347,717,4790
6337,692,4747
6342,667,4790
6327,672,4770
6347,712,4845
6357,657,4817
6322,692,4760
6337,657,4822
6317,702,4795
6342,707,4845
6332,677,4802
6347,692,4827
6347,707,4822
6342,687,4747
6367,677,4812
6332,702,4790
6337,717,4817
6387,672,4822
6367,687,4827
6337,727,4765
6352,722,4795
6362,692,4780
6362,717,4822
6347,687,4812
6382,692,4760
6312,672,4790
6352,692,4822
6352,682,4790
6372,657,4827
6347,682,4807
6322,697,4822
6347,682,4775
6362,697,4790
6332,707,4827
6367,727,4822
6327,702,4822
6342,697,4795
6337,712,4795
6337,712,4817
6352,687,4812
6352,712,4790
6337,672,4775
6347,712,4802
6362,692,4832
6342,722,4737
6347,672,4817
6352,692,4807
6357,707,4832
6342,712,4802
6367,702,4837
6372,712,4802
6352,717,4790
6372,712,4860
6327,702,4855
6382,707,4785
6352,722,4822
6317,697,4812
6357,717,4795
6307,640,4760
6327,707,4802
6352,687,4812
6347,707,4785
6317,697,4845
6342,732,4790
6347,717,4765
6347,672,4827
6367,697,4807
6317,692,4827
6367,677,4817
6342,702,4827
6327,707,4837
6332,667,4802
6347,697,4795
6387,687,4790
6392,677,4795
6352,682,4832
6367,712,4795
6352,697,4770
6362,682,4795
6352,717,4817
6332,672,4832
6337,682,4785
6357,662,4807
6372,722,4827
6327,707,4785
6347,672,4817
6327,742,4802
6377,727,4780
6377,682,4785
6347,692,4807
6327,692,4817
6372,682,4812
6337,707,4795
6382,702,4795
6357,652,4807
6362,667,4817
6357,672,4817
6332,667,4760
6327,672,4765
6292,717,4770
6272,737,4785
6282,737,4770
6292,717,4747
6282,702,4770
6307,692,4832
6337,692,4807
6352,692,4780
6382,672,4845
6417,647,4832
6407,687,4822
6392,672,4817
6367,707,4817
6357,677,4727
6357,707,4747
6317,737,4780
6317,722,4770
6332,687,4807
6312,727,4807
6297,662,4802
6307,712,4780
6352,732,4832
6327,697,4807
6347,732,4807
6397,677,4785
6402,742,4785
6417,712,4765
6362,677,4752
6367,702,4795
6377,722,4770
6352,747,4790
6382,717,4752
6282,697,4812
6332,697,4770
6322,657,4747
6317,682,4802
6347,712,4822
6342,692,4775
6382,677,4822
6392,682,4812
6307,702,4775
6352,732,4817
6407,687,4817
6377,712,4817
6357,692,4802
6327,707,4785
6342,702,4807
6312,697,4812
6322,727,4795
6332,717,4795
6357,682,4812
6367,712,4807
6352,717,4817
6382,697,4785
6392,667,4752
6372,717,4775
6387,697,4807
6372,702,4802
6357,712,4807
6382,717,4837
6347,697,4865
6332,687,4802
6362,722,4785
6367,712,4807
6332,752,4807
6357,697,4790
6342,692,4827
6362,722,4802
6367,672,4802
6372,630,4812
6367,692,4775
6402,707,4795
6342,727,4817
6347,712,4790
6362,697,4790
6352,687,4807
6357,692,4807
6347,732,4780
6322,747,4850
6322,692,4812
6337,657,4832
6377,682,4802
6332,697,4817
6337,712,4822
6362,712,4822
6357,707,4822
6367,687,4780
6327,677,4802
6337,742,4790
6347,717,4775
6342,712,4795
6322,677,4802
6342,707,4775
6337,692,4802
6302,697,4775
6342,687,4790
6347,682,4790
6342,667,4790
6332,732,4785
6347,682,4807
6382,702,4837
6322,662,4807
6352,697,4807
6372,662,4785
6357,667,4775
6332,667,4845
6377,687,4770
6357,672,4850
6312,707,4790
6367,692,4807
6377,707,4775
6392,697,4845
6342,712,4812
6342,692,4795
6377,712,4817
6352,757,4827
6342,667,4790
6362,657,4837
6362,702,4817
6362,692,4807
6332,707,4785
6352,722,4775
6347,712,4760
6312,692,4827
6322,737,4770
6317,667,4790
6347,692,4832
6347,707,4802
6372,707,4785
6372,702,4807
6322,677,4765
6367,707,4812
6372,702,4785
6382,742,4785
6337,707,4807
6342,707,4780
6352,692,4795
6372,677,4795
6327,687,4845
6347,677,4845
6347,702,4785
6362,662,4850
6322,697,4865
6332,702,4795
6377,682,4802
6332,677,4812
6347,717,4795
6352,677,4817
6362,707,4770
6357,712,4795
6332,757,4790
6342,672,4795
6332,732,4822
6382,707,4807
6347,702,4790
6357,677,4807
6357,707,4775
6412,662,4785
6402,687,4807
6322,687,4790
6352,687,4827
6312,707,4775
6347,757,4742
6347,737,4802
6332,717,4775
6317,727,4832
6307,702,4785
6282,737,4742
6332,732,4785
6322,732,4807
6317,707,4752
6307,767,4770
6322,717,4760
6287,717,4775
6327,737,4775
6282,732,4765
6312,722,4775
6292,722,4780
6332,682,4827
6342,667,4822
6337,707,4807
6332,682,4817
6372,672,4855
6337,662,4812
6342,722,4812
6362,722,4812
6357,702,4795
6362,717,4747
6357,697,4775
6322,672,4812
6337,697,4832
6382,717,4827
6322,677,4822
6322,702,4845
6342,717,4832
6347,640,4812
6372,702,4832
6412,662,4827
6425,662,4855
6425,662,4822
6357,647,4832
6425,677,4812
6357,717,4837
6357,652,4837
6352,682,4860
6357,652,4875
6327,677,4832
6402,652,4832
6392,647,4817
6357,697,4860
6430,640,4827
6445,672,4855
6417,707,4822
6397,647,4875
6440,677,4887
6425,667,4845
6412,635,4845
6407,667,4845
6412,652,4845
6387,682,4822
6402,672,4827
6430,647,4897
6377,672,4870
6430,647,4817
6397,635,4832
6445,687,4827
6450,647,4850
6455,662,4837
6387,657,4850
6430,692,4822
6397,635,4795
6430,662,4832
6377,687,4855
6392,635,4870
6407,662,4837
6397,672,4870
6440,707,4832
6417,625,4855
6417,667,4875
6387,652,4812
6430,657,4860
6392,682,4827
6402,657,4845
6430,657,4850
6382,672,4807
6402,652,4822
6430,620,4802
6425,640,4845
6412,662,4827
6392,682,4850
6402,677,4880
6402,630,4837
6397,662,4827
6372,662,4860
6412,677,4785
6412,610,4822
6392,647,4865
6425,707,4812
6412,662,4775
6425,677,4822
6425,647,4860
6430,672,4845
6425,652,4837
6387,635,4832
6412,707,4822
6402,625,4822
6392,672,4807
6387,667,4845
6435,702,4887
6425,647,4822
6417,662,4817
6387,652,4850
6425,662,4855
6435,662,4790
6402,662,4850
6397,640,4845
6450,620,4817
6417,672,4817
6402,662,4837
6412,672,4855
6382,662,4855
6392,692,4850
6402,717,4795
6407,682,4822
6430,657,4845
6435,657,4827
6445,657,4837
6397,682,4855
6387,652,4822
6382,667,4855
6397,667,4827
6412,635,4837
6382,652,4817
6397,677,4837
6407,635,4837
6362,652,4827
6440,677,4790
6387,687,4822
6402,682,4850
6377,630,4812
6435,687,4855
6392,630,4837
6397,667,4807
6362,662,4855
6382,647,4827
6425,682,4870
6430,677,4865
6387,630,4827
6382,677,4832
6392,657,4837
6387,682,4807
6412,697,4822
6402,707,4845
6430,682,4812
6392,657,4827
6397,657,4812
6407,702,4860
6387,635,4865
6397,652,4870
6372,667,4832
6425,682,4817
6387,682,4845
6397,672,4870
6392,712,4832
6387,667,4860
6372,687,4855
6425,692,4870
6392,687,4870
6425,682,4845
6440,647,4822
6407,652,4827
6392,692,4837
6412,610,4817
6377,702,4902
6407,652,4850
6392,652,4860
6377,620,4865
6377,657,4822
6402,635,4850
6412,652,4812
6392,682,4850
6397,630,4827
6392,677,4837
6407,635,4850
6387,630,4850
6387,682,4855
6412,677,4850
6417,625,4855
6425,692,4865
6407,672,4837
6367,657,4832
6417,635,4832
6367,625,4845
6387,657,4860
6387,692,4822
6392,647,4860
6352,662,4850
6392,652,4812
6377,657,4865
6367,647,4812
6387,615,4865
6382,647,4827
6357,667,4822
6387,667,4827
6362,647,4855
6357,682,4832
6362,657,4850
6412,630,4827
6362,647,4845
6402,620,4845
6377,652,4832
6387,682,4822
6430,635,4832
6435,662,4837
6382,652,4827
6412,640,4827
6382,652,4880
6387,697,4860
6402,652,4822
6387,677,4837
6425,630,4870
6367,697,4865
6382,635,4855
6337,647,4860
6392,620,4832
6367,682,4850
6387,667,4812
6407,635,4860
6352,652,4827
6387,657,4860
6412,657,4822
6392,687,4850
6425,672,4870
6347,625,4770
6392,662,4817
6392,647,4822
6387,657,4870
6407,667,4845
6387,652,4822
6377,647,4855
6392,620,4822
6387,707,4875
6397,657,4845
6417,657,4850
6387,662,4855
6362,647,4827
6417,662,4845
6367,677,4855
6402,652,4860
6377,647,4850
6377,677,4832
6382,697,4860
6417,652,4845
6425,667,4892
6357,677,4837
6460,682,4850
6387,662,4865
6377,662,4870
6377,652,4860
6372,672,4812
6412,677,4855
6397,657,4875
6362,662,4850
6425,610,4822
6397,652,4865
6417,672,4850
6382,657,4827
6357,635,4865
6357,692,4887
6440,647,4845
6402,687,4802
6362,677,4880
6387,630,4837
6377,657,4822
6402,640,4837
6392,615,4837
6417,652,4855
6357,652,4837
6392,630,4860
6392,657,4850
6387,657,4802
6387,662,4855
6382,662,4865
6440,692,4832
6407,657,4850
6387,647,4892
6407,727,4850
6440,657,4827
6392,672,4795
6397,667,4875
6397,702,4870
6392,707,4832
6387,647,4860
6397,615,4822
6392,717,4845
6377,662,4822
6387,657,4860
6392,630,4855
6407,625,4860
6397,652,4827
6402,682,4865
6382,672,4865
6392,672,4837
6402,647,4845
6407,662,4845
6387,657,4802
6392,605,4832
6435,647,4827
6377,667,4822
6407,605,4817
6392,687,4822
6377,652,4850
6362,630,4812
6382,672,4822
6392,625,4850
6362,677,4822
6372,657,4860
6392,692,4812
6372,682,4837
6377,682,4795
6392,662,4875
6407,657,4845
6387,702,4837
6397,657,4832
6387,657,4887
6392,662,4865
6362,625,4807
6407,682,4812
6377,677,4832
6397,667,4837
6362,630,4827
6407,657,4870
6392,647,4875
6367,662,4845
6412,635,4832
6412,697,4855
6387,707,4837
6402,635,4865
6382,677,4817
6377,682,4837
6357,677,4827
6402,640,4855
6387,662,4822
6435,677,4817
6387,667,4860
6372,692,4860
6435,672,4832
6397,667,4837
6392,667,4865
6397,635,4897
6417,652,4850
6417,657,4845
6417,672,4837
6445,687,4865
6387,647,4837
6382,657,4855
6417,640,4837
6392,635,4807
6397,677,4795
6392,635,4865
6377,647,4860
6397,647,4860
6372,652,4827
6430,672,4850
6412,692,4837
6417,677,4865
6402,647,4832
6382,662,4865
6377,652,4850
6412,635,4865
6387,667,4875
6425,647,4865
6392,610,4845
6382,697,4845
6367,662,4822
6402,657,4865
6377,677,4837
6402,677,4837
6387,677,4827
6407,662,4850
6357,682,4865
6347,605,4832
6402,657,4837
6382,672,4822
6392,677,4850
6407,657,4837
6392,652,4827
6397,692,4865
6425,662,4845
6412,652,4850
6397,652,4845
6362,662,4837
6387,635,4807
6402,687,4845
6407,640,4845
6397,677,4817
6357,682,4812
6425,672,4832
6372,647,4865
6382,697,4850
6352,682,4817
6387,687,4837
6392,657,4832
6402,677,4870
6407,630,4827
6372,635,4827
6362,662,4822
6377,672,4832
6402,677,4870
6382,677,4837
6372,672,4860
6362,647,4827
6402,630,4860
6402,667,4837
6425,682,4850
6387,615,4860
6377,697,4850
6377,682,4860
6407,657,4812
6382,672,4855
6392,657,4812
6397,702,4817
6347,630,4845
6425,667,4855
6417,640,4880
6382,625,4812
6372,667,4865
6382,625,4870
6367,677,4822
6412,687,4865
6402,657,4845
6362,652,4850
6377,652,4870
6382,672,4822
6382,657,4827
6397,647,4845
6357,687,4837
6357,652,4827
6412,657,4832
6392,662,4850
6402,647,4807
6402,610,4827
6397,657,4827
6382,640,4845
6382,652,4822
6407,667,4822
6367,640,4870
6377,640,4832
6387,662,4865
6372,697,4875
6377,630,4837
6397,605,4850
6392,677,4880
6392,672,4855
6392,625,4845
6382,630,4845
6402,672,4860
6412,707,4837
6377,635,4875
6387,682,4795
6392,630,4837
6382,647,4865
6382,620,4837
6342,672,4812
6362,652,4870
6402,647,4850
6392,677,4865
6417,630,4865
6387,682,4850
6367,635,4817
6417,662,4817
6392,657,4832
6412,662,4832
6377,677,4860
6357,647,4855
6397,667,4845
6352,677,4880
6387,672,4850
6407,657,4870
6417,672,4850
6352,657,4845
6417,682,4822
6417,662,4795
6407,667,4860
6402,667,4832
6387,647,4827
6407,692,4832
6397,677,4837
6322,672,4817
6382,667,4880
6377,662,4832
6392,672,4860
6377,657,4865
6387,672,4832
6372,677,4817
6412,672,4850
6402,677,4837
6357,687,4860
6377,662,4837
6377,687,4822
6372,640,4850
6382,712,4807
6372,677,4807
6377,657,4832
6397,687,4837
6352,672,4845
6377,687,4822
6347,687,4827
6397,722,4837
6392,687,4860
6382,647,4812
6407,662,4837
6425,672,4870
6367,657,4807
6402,625,4860
6377,687,4850
6382,667,4827
6450,687,4832
6382,682,4812
6412,672,4845
6367,677,4822
6397,647,4845
6407,677,4832
6402,667,4865
6377,625,4850
6372,652,4807
6402,657,4850
6387,667,4855
6382,662,4850
6362,647,4865
6407,662,4807
6392,667,4795
6392,687,4845
6362,662,4870
6407,672,4845
6362,652,4827
6417,652,4827
6347,672,4845
6362,647,4860
6367,647,4832
6372,630,4822
6412,640,4812
6342,687,4837
6392,682,4822
6382,667,4812
6407,652,4855
6402,677,4845
6387,697,4817
6425,677,4822
6392,640,4802
6377,697,4837
6382,647,4860
6402,672,4795
6372,652,4822
6397,662,4780
6382,625,4770
6402,692,4845
6397,667,4817
6417,672,4822
6402,717,4780
6387,677,4785
6407,672,4860
6377,657,4845
6387,672,4785
6377,630,4850
6397,652,4795
6397,620,4880
6372,652,4870
6387,615,4827
6402,615,4832
6382,682,4822
6402,657,4837
6392,672,4845
6402,672,4837
6402,640,4837
6435,635,4822
6362,692,4802
6392,692,4837
6362,652,4822
6407,635,4860
6342,620,4817
6387,652,4865
6377,687,4897
6397,677,4845
6372,657,4822
6430,662,4860
6407,647,4832
6387,657,4802
6387,687,4802
6397,635,4807
6387,662,4790
6407,672,4850
6417,625,4817
6392,652,4827
6397,647,4817
6362,625,4865
6402,615,4837
6382,672,4832
6392,610,4855
6407,677,4860
6372,682,4817
6377,672,4807
6362,652,4875
6397,652,4837
6392,657,4855
6397,672,4827
6402,667,4887
6387,692,4837
6397,677,4812
6402,677,4880
6362,667,4860
6430,687,4850
6417,657,4845
6392,635,4832
6377,667,4812
6402,667,4822
6372,657,4865
6417,682,4822
6382,667,4865
6425,647,4845
6402,652,4837
6387,717,4870
6402,657,4855
