Fs,50.00
Initialization time,60
mx,my,mz
6227,960,3165
6347,915,3187
6212,1045,3175
6212,875,3022
6262,970,3112
6312,965,3122
6267,1075,3145
6192,970,3160
6297,960,3155
6177,842,3212
6287,1010,3005
6342,940,3180
6262,1005,3160
6257,1000,3090
6247,910,3090
6287,985,3095
6297,930,3017
6357,940,3065
6272,985,3080
6317,970,3000
6242,935,3052
6252,1015,3272
6122,960,3217
6232,1055,3132
6317,895,3222
6217,885,3137
6232,900,3060
6262,1015,3102
6267,1025,3000
6362,960,3095
6187,900,3122
6237,930,3052
6312,895,3085
6267,885,3192
6307,905,3145
6267,895,3022
6277,935,3197
6277,930,3127
6247,965,3207
6402,910,3102
6252,880,3017
6337,935,3127
6192,950,3090
6197,965,3065
6332,965,3037
6287,900,3037
6312,1025,3122
6322,910,3070
6272,895,3160
6257,1000,3090
6267,792,3070
6157,1010,3005
6237,940,3052
6307,1040,3042
6292,900,3075
6367,1087,3180
6317,1060,3032
6292,1092,3202
6202,1025,3005
6217,935,3052
6347,1092,3132
6312,980,3005
6312,1015,3102
6287,975,3160
6217,985,3052
6272,905,3145
6267,837,3095
6262,925,3085
6332,995,3127
6312,935,3127
6317,935,3075
6232,970,3127
6257,925,3137
6262,1015,3170
6272,1000,3165
6277,935,3160
6262,980,3217
6302,955,3102
6257,1010,3102
6372,1010,3065
6277,965,3175
6272,880,3065
6337,895,3137
6312,910,3132
6307,1025,3127
6312,1010,2990
6312,827,2975
6282,935,3095
6322,880,3102
6297,990,3202
6302,955,3132
6212,985,3170
6287,945,3042
6267,915,3047
6352,960,3132
6357,905,3145
6267,980,3065
6227,900,3122
6217,1015,3090
6247,1107,2995
6297,930,3052
6337,910,3065
6372,940,3202
6252,1000,3032
6222,955,3160
6277,960,3037
6302,885,2990
6287,985,3197
6332,1030,2990
6357,940,3117
6212,1005,3107
6397,915,3052
6252,915,3117
6287,875,3137
6292,1000,3112
6277,1010,3175
6297,1035,3180
6307,1060,3027
6277,1000,3122
6282,970,3137
6142,930,3117
6277,960,3137
6332,880,3127
6282,950,3090
6157,975,3112
6292,1025,3090
6357,955,3080
6407,925,3155
6312,940,2975
6322,930,3137
6352,945,2962
6232,940,3090
6162,965,3010
6312,985,3117
6307,930,3192
6317,1025,3127
6287,895,3117
6112,885,3155
6232,1087,3122
6267,1045,3070
6317,910,3165
6332,1055,3175
6277,955,3075
6252,1010,3170
6282,965,3112
6252,935,3085
6242,1045,3090
6267,970,3132
6237,915,3222
6232,910,3085
6297,925,3095
6242,915,3095
6367,925,3122
6312,1005,3047
6302,910,3080
6237,1045,2962
6187,935,3112
6317,1010,3145
6232,955,3127
6257,857,3075
6302,875,3005
6197,880,3155
6222,965,3085
6307,975,3127
6425,1000,3102
6232,985,3070
6272,880,3060
6252,925,3150
6352,920,3095
6317,950,3212
6322,1010,3187
6287,920,3085
6282,1005,2990
6352,985,3117
6352,1050,3032
6297,950,2925
6172,925,3047
6347,940,3047
6402,885,3032
6337,945,3022
6172,905,3192
6202,935,3060
6352,1030,3052
6287,1060,3175
6362,960,3192
6307,955,3032
6342,970,3010
6302,875,3112
6262,995,3137
6412,990,3085
6352,930,3065
6347,985,3075
6392,995,3047
6247,985,3047
6322,980,3000
6362,955,2942
6357,832,3005
6237,995,3032
6312,935,3222
6372,990,3070
6297,885,3102
6192,1005,3052
6332,990,3042
6362,880,3155
6222,975,3102
6152,995,3102
6277,930,3170
6392,970,3060
6242,995,3022
6232,985,3060
6227,870,3022
6337,995,3080
6342,930,3122
6267,915,3150
6387,885,2920
6302,940,3090
6387,935,3080
6282,920,3080
6347,1025,3065
6272,915,3065
6232,985,3107
6302,960,3107
6317,1055,3090
6232,995,3207
6287,852,3090
6302,925,3037
6227,1010,3010
6262,1005,3032
6272,890,3042
6332,955,3080
6287,960,2980
6207,1070,3085
6297,920,3037
6322,1055,3095
6277,925,3217
6257,985,3155
6287,965,3010
6342,955,3145
6252,895,3065
6277,890,3170
6207,995,3010
6312,857,3117
6392,995,3197
6292,822,3102
6302,930,3037
6397,915,3112
6262,940,3150
6317,1030,3075
6292,945,3117
6322,980,3042
6322,925,2980
6277,965,3197
6227,905,3230
6287,975,3080
6287,852,3047
6212,945,3102
6272,1045,3090
6307,857,3027
6292,975,3065
6307,980,3085
6237,995,3192
6322,970,3112
6302,915,3095
6287,1142,3075
6222,1060,3095
6252,1005,3272
6277,965,3060
6292,905,3132
6227,890,3080
6372,1005,3202
6252,1030,3052
6252,885,2995
6297,960,3095
6347,1025,3075
6197,945,2952
6347,1000,3165
6307,915,3032
6227,870,3155
6292,1055,3127
6177,995,3122
6257,990,3022
6327,1000,3052
6227,955,3170
6232,890,3042
6177,935,3127
6192,995,3010
6282,915,3080
6242,990,2967
6407,925,3000
6237,955,3000
6217,1070,3122
6292,935,3127
6430,980,3102
6237,935,3075
6287,970,3075
6252,905,3165
6252,925,3145
6262,990,3122
6247,930,3060
6217,1092,3155
6297,895,3150
6297,950,3145
6307,1060,3060
6322,1020,3117
6247,975,3042
6257,945,3137
6187,1000,2990
6257,945,3160
6247,915,3137
6292,1075,3090
6292,1020,3027
6247,975,3080
6337,1025,3160
6322,1020,3095
6242,1082,3132
6332,885,3042
6227,910,3170
6282,920,3197
6242,910,3155
6117,852,3052
6277,885,2980
6302,865,3085
6282,1025,3047
6247,985,2990
6187,1025,2995
6192,945,3070
6257,990,3127
6297,1065,3117
6307,1010,3230
6222,960,3137
6197,925,3085
6237,930,3117
6282,852,3090
6377,865,3042
6292,875,3027
6272,885,2952
6272,935,3102
6172,920,3112
6242,900,3090
6307,925,2895
6232,915,3090
6337,955,3065
6272,900,3010
6282,905,2900
6292,895,3160
6247,985,3042
6222,812,3010
6277,960,2995
6267,1010,3070
6142,1030,3065
6307,975,3085
6312,920,3085
6382,1010,3127
6367,915,2962
6212,890,3000
6212,900,3060
6252,890,3065
6367,1010,3000
6322,975,3022
6357,837,2990
6337,900,3010
6197,975,3085
6207,910,3085
6162,960,3060
6317,1045,3085
6222,1010,3047
6302,915,3070
6337,935,3122
6247,955,3032
6282,910,3052
6222,915,2957
6212,945,3107
6197,985,3000
6242,965,3085
6277,985,3187
6267,925,3075
6292,1035,3165
6232,910,3042
6247,990,3027
6302,1030,3075
6207,880,3037
6312,880,2995
6337,985,3027
6282,930,2990
6347,940,3037
6227,995,3032
6167,880,2990
6252,935,3085
6302,832,3150
6087,940,3102
6327,1020,3150
6372,990,3137
6192,1000,3070
6322,990,3122
6177,1000,3060
6162,955,3000
6232,930,3065
6257,910,3117
6207,965,3085
6352,950,2975
6292,995,3042
6332,970,3032
6307,852,3047
6322,910,3117
6312,915,3005
6202,1040,3080
6357,995,3155
6297,950,3080
6302,895,3022
6307,985,3042
6277,1000,3010
6332,935,3042
6222,975,3060
6312,1015,3122
6257,847,3075
6267,940,2920
6292,925,3032
6307,842,3047
6297,1000,3165
6317,880,3085
6212,960,3127
6282,905,3107
6357,885,2937
6282,990,3027
6202,1000,3027
6337,1045,3065
6277,1015,3010
6267,880,3037
6327,905,3137
6302,970,3090
6302,930,3095
6142,865,2932
6252,940,3090
6312,895,3080
6282,910,3027
6252,955,3037
6122,960,3027
6212,930,3090
6332,985,3122
6232,925,3027
6342,930,3145
6367,930,3095
6212,930,3112
6212,837,3127
6222,1040,3150
6232,875,3070
6322,1015,3122
6277,935,3160
6217,865,3155
6242,905,3175
6287,880,3117
6257,1010,3107
6247,990,3127
6237,895,3000
6332,960,3095
6387,910,3107
6192,965,3145
6217,995,3145
6237,925,3037
6267,990,3060
6177,905,3145
6202,915,3192
6137,1065,3175
6232,890,3065
6187,945,3037
6317,930,3047
6232,890,3127
6257,965,3175
6207,995,3117
6182,1050,3137
6247,990,3150
6222,950,3180
6227,920,3202
6152,990,3112
6177,975,3145
6152,875,3265
6187,965,3150
6237,940,3197
6142,1000,3090
6202,975,3160
6207,985,3090
6342,900,3107
6317,965,3197
6252,940,3260
6112,880,3127
6232,965,3095
6227,832,3080
6207,980,3080
6197,990,3170
6242,910,3080
6187,950,3042
6107,1000,3222
6187,970,3202
